nohup: ignoring input
Restart 1
exp 1/110, noise: 0.0, dt: 0.020000000000000004, err = 2.0456831580998866e-08, time = 202.51814770698547.
Restart 1
exp 2/110, noise: 0.0, dt: 0.04000000000000001, err = 9.21483115913471e-09, time = 506.61033272743225.
exp 3/110, noise: 0.0, dt: 0.06000000000000001, err = 1.1472009823050956e-08, time = 200.8783097267151.
exp 4/110, noise: 0.0, dt: 0.08000000000000002, err = 6.340349823903841e-08, time = 128.35893273353577.
exp 5/110, noise: 0.0, dt: 0.10000000000000002, err = 7.41992511421912e-07, time = 98.32440829277039.
exp 6/110, noise: 0.0, dt: 0.12000000000000002, err = 2.3257243453913954e-06, time = 81.94830226898193.
exp 7/110, noise: 0.0, dt: 0.14, err = 6.169508541177093e-06, time = 73.09841108322144.
exp 8/110, noise: 0.0, dt: 0.16000000000000003, err = 2.5715257800745094e-05, time = 65.93310618400574.
exp 9/110, noise: 0.0, dt: 0.18000000000000005, err = 0.00010996896630274129, time = 63.49763083457947.
exp 10/110, noise: 0.0, dt: 0.2, err = 2.530786281504615, time = 70.39582943916321.
exp 11/110, noise: 2.0, dt: 0.020000000000000004, err = 0.005481823322813746, time = 172.14158701896667.
exp 12/110, noise: 2.0, dt: 0.04000000000000001, err = 0.03373767772908841, time = 603.4259159564972.
exp 13/110, noise: 2.0, dt: 0.06000000000000001, err = 0.11803342369537026, time = 221.97499012947083.
exp 14/110, noise: 2.0, dt: 0.08000000000000002, err = 0.02838831650937805, time = 146.65967297554016.
exp 15/110, noise: 2.0, dt: 0.10000000000000002, err = 0.08750649147163372, time = 96.59528517723083.
exp 16/110, noise: 2.0, dt: 0.12000000000000002, err = 0.07728796937066855, time = 77.70079255104065.
exp 17/110, noise: 2.0, dt: 0.14, err = 0.03613009506727661, time = 85.89646935462952.
exp 18/110, noise: 2.0, dt: 0.16000000000000003, err = 0.06139191919933204, time = 79.23317527770996.
exp 19/110, noise: 2.0, dt: 0.18000000000000005, err = 0.19670572711499226, time = 74.93158555030823.
exp 20/110, noise: 2.0, dt: 0.2, err = 0.15708473123420683, time = 65.74499154090881.
exp 21/110, noise: 4.0, dt: 0.020000000000000004, err = 0.09687494359716471, time = 167.71727800369263.
exp 22/110, noise: 4.0, dt: 0.04000000000000001, err = 0.11300131423958372, time = 554.9944031238556.
exp 23/110, noise: 4.0, dt: 0.06000000000000001, err = 0.08378897620574655, time = 203.61392855644226.
exp 24/110, noise: 4.0, dt: 0.08000000000000002, err = 0.09168782258383594, time = 133.87939190864563.
exp 25/110, noise: 4.0, dt: 0.10000000000000002, err = 0.041334156927869445, time = 94.64735722541809.
exp 26/110, noise: 4.0, dt: 0.12000000000000002, err = 0.054988665008909095, time = 81.38994336128235.
exp 27/110, noise: 4.0, dt: 0.14, err = 26.194446335772124, time = 73.98481440544128.
exp 28/110, noise: 4.0, dt: 0.16000000000000003, err = 0.08257574521477788, time = 82.39059472084045.
exp 29/110, noise: 4.0, dt: 0.18000000000000005, err = 1.2219521472312176, time = 65.06835269927979.
exp 30/110, noise: 4.0, dt: 0.2, err = 0.19364121530151324, time = 68.58243942260742.
exp 31/110, noise: 6.0, dt: 0.020000000000000004, err = 0.009546393509927266, time = 167.76172709465027.
exp 32/110, noise: 6.0, dt: 0.04000000000000001, err = 2.2392323465504456, time = 531.2995626926422.
exp 33/110, noise: 6.0, dt: 0.06000000000000001, err = 0.14307615284649988, time = 233.79511189460754.
exp 34/110, noise: 6.0, dt: 0.08000000000000002, err = 0.048940637989296695, time = 143.1341438293457.
exp 35/110, noise: 6.0, dt: 0.10000000000000002, err = 0.41173833436695484, time = 117.70846462249756.
exp 36/110, noise: 6.0, dt: 0.12000000000000002, err = 0.12570843834961443, time = 86.38353037834167.
exp 37/110, noise: 6.0, dt: 0.14, err = 0.8507957839232702, time = 91.71266198158264.
exp 38/110, noise: 6.0, dt: 0.16000000000000003, err = 2.6174602018287283, time = 69.38741660118103.
exp 39/110, noise: 6.0, dt: 0.18000000000000005, err = 1.0002631680842777, time = 67.8304386138916.
exp 40/110, noise: 6.0, dt: 0.2, err = 0.24548844501117276, time = 70.49461650848389.
exp 41/110, noise: 8.0, dt: 0.020000000000000004, err = 0.09799639168755932, time = 168.56052446365356.
exp 42/110, noise: 8.0, dt: 0.04000000000000001, err = 0.06785536850127154, time = 595.825113773346.
exp 43/110, noise: 8.0, dt: 0.06000000000000001, err = 34.7889263657001, time = 304.5283646583557.
exp 44/110, noise: 8.0, dt: 0.08000000000000002, err = 4.59432075590998, time = 143.19139695167542.
exp 45/110, noise: 8.0, dt: 0.10000000000000002, err = 0.15956392284186727, time = 108.33430075645447.
exp 46/110, noise: 8.0, dt: 0.12000000000000002, err = 0.13461734015840185, time = 91.29825687408447.
exp 47/110, noise: 8.0, dt: 0.14, err = 1.2876288470637403, time = 76.88256096839905.
exp 48/110, noise: 8.0, dt: 0.16000000000000003, err = 2.8529967095107702, time = 78.81132435798645.
exp 49/110, noise: 8.0, dt: 0.18000000000000005, err = 1.0199282656972903, time = 70.93994951248169.
exp 50/110, noise: 8.0, dt: 0.2, err = 0.3093386551809471, time = 74.4411940574646.
exp 51/110, noise: 10.0, dt: 0.020000000000000004, err = 0.09822256769973131, time = 154.77081036567688.
exp 52/110, noise: 10.0, dt: 0.04000000000000001, err = 0.4455804205784582, time = 520.4361236095428.
exp 53/110, noise: 10.0, dt: 0.06000000000000001, err = 15.155488884992804, time = 227.94973349571228.
exp 54/110, noise: 10.0, dt: 0.08000000000000002, err = 0.24357756762631738, time = 122.54878878593445.
exp 55/110, noise: 10.0, dt: 0.10000000000000002, err = 0.5394008510898481, time = 99.94438195228577.
exp 56/110, noise: 10.0, dt: 0.12000000000000002, err = 0.24461577963847916, time = 82.84896612167358.
exp 57/110, noise: 10.0, dt: 0.14, err = 1.8524436994873124, time = 80.21382594108582.
exp 58/110, noise: 10.0, dt: 0.16000000000000003, err = 3.8984045063525343, time = 83.51617312431335.
exp 59/110, noise: 10.0, dt: 0.18000000000000005, err = 0.8021789258852589, time = 68.04798030853271.
exp 60/110, noise: 10.0, dt: 0.2, err = 0.45717543076683687, time = 67.88159942626953.
exp 61/110, noise: 12.0, dt: 0.020000000000000004, err = 0.09831236280088332, time = 158.19436931610107.
exp 62/110, noise: 12.0, dt: 0.04000000000000001, err = 3.3132267368994053, time = 484.6321403980255.
exp 63/110, noise: 12.0, dt: 0.06000000000000001, err = 7.632277439270774, time = 232.33836817741394.
exp 64/110, noise: 12.0, dt: 0.08000000000000002, err = 0.36604671367568864, time = 127.49417972564697.
exp 65/110, noise: 12.0, dt: 0.10000000000000002, err = 5.883321828854088, time = 105.49911713600159.
exp 66/110, noise: 12.0, dt: 0.12000000000000002, err = 1.1691035811712243, time = 82.34821557998657.
exp 67/110, noise: 12.0, dt: 0.14, err = 0.9323897205895318, time = 76.27963924407959.
exp 68/110, noise: 12.0, dt: 0.16000000000000003, err = 3.0598452329940495, time = 75.84339570999146.
exp 69/110, noise: 12.0, dt: 0.18000000000000005, err = 0.6895870497223058, time = 70.11311531066895.
exp 70/110, noise: 12.0, dt: 0.2, err = 0.5376399547596037, time = 66.85212302207947.
exp 71/110, noise: 14.0, dt: 0.020000000000000004, err = 0.01952152422032439, time = 160.0588881969452.
exp 72/110, noise: 14.0, dt: 0.04000000000000001, err = 0.13825149200363068, time = 696.2413713932037.
exp 73/110, noise: 14.0, dt: 0.06000000000000001, err = 27.874732130480986, time = 248.40612864494324.
exp 74/110, noise: 14.0, dt: 0.08000000000000002, err = 5.394696533471277, time = 125.83553218841553.
exp 75/110, noise: 14.0, dt: 0.10000000000000002, err = 0.2822021663282739, time = 105.95793867111206.
exp 76/110, noise: 14.0, dt: 0.12000000000000002, err = 1.1511906923590278, time = 77.59500193595886.
exp 77/110, noise: 14.0, dt: 0.14, err = 1.2384928925868586, time = 71.34885287284851.
exp 78/110, noise: 14.0, dt: 0.16000000000000003, err = 2.346475739597201, time = 79.80105972290039.
exp 79/110, noise: 14.0, dt: 0.18000000000000005, err = 0.46535753469679353, time = 72.25844383239746.
exp 80/110, noise: 14.0, dt: 0.2, err = 0.5643191495023009, time = 67.93911147117615.
exp 81/110, noise: 16.0, dt: 0.020000000000000004, err = 0.019530903604403516, time = 182.4812080860138.
exp 82/110, noise: 16.0, dt: 0.04000000000000001, err = 3.7055649704417535, time = 639.5208399295807.
exp 83/110, noise: 16.0, dt: 0.06000000000000001, err = 5.538510354899097, time = 220.3719642162323.
exp 84/110, noise: 16.0, dt: 0.08000000000000002, err = 3.7209320843530915, time = 127.05574631690979.
exp 85/110, noise: 16.0, dt: 0.10000000000000002, err = 0.4430139019666652, time = 103.22154760360718.
exp 86/110, noise: 16.0, dt: 0.12000000000000002, err = 2.8761919472272766, time = 86.28897714614868.
exp 87/110, noise: 16.0, dt: 0.14, err = 26.569238451738286, time = 95.57050967216492.
exp 88/110, noise: 16.0, dt: 0.16000000000000003, err = 1.7539643488010699, time = 80.12676763534546.
exp 89/110, noise: 16.0, dt: 0.18000000000000005, err = 0.9269193375135473, time = 70.78016924858093.
exp 90/110, noise: 16.0, dt: 0.2, err = 0.6970707085539827, time = 63.465721130371094.
exp 91/110, noise: 18.0, dt: 0.020000000000000004, err = 0.04104902996304857, time = 170.87370610237122.
